Title,Year,Rating,Plot,Genre
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",drama
Monsters,2022-,7.8,An anthology series about high-profile crimes or killers that captured public attention and notoriety.,drama
The Penguin,2024,8.8,"Following the events of The Batman (2022), Oz Cobb, a.k.a. the Penguin, makes a play to seize the reins of the crime world in Gotham.",drama
The Lord of the Rings: The Rings of Power,2022-,6.9,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",drama
The Substance,2024,7.8,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",drama
From,2022-,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",drama
Slow Horses,2022-,8.2,Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes.,drama
Agatha All Along,2024,6.9,"A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",drama
Speak No Evil,2024,6.9,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",drama
Only Murders in the Building,2021-,8.1,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.,drama
Megalopolis,2024,5,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of an Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",drama
Joker,2019,8.4,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",drama
Grotesquerie,2024-,6.7,"A detective and a nun investigate a series of heinous crimes that seem personal, while grappling with personal issues and uncovering a sinister web that raises more questions than answers.",drama
Game of Thrones,2011-2019,9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",drama
Saturday Night,2024,7.4,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.",drama
Outer Banks,2020-,7.5,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",drama
Disclaimer,2024-,7.5,"Follows Catherine Ravenscroft, a television documentary journalist whose work has been built on revealing the transgressions of long-respected institutions.",drama
Tulsa King,2022-,8,"Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters.",drama
Heartstopper,2022-,8.6,"Charlie, a high-strung, openly gay overthinker, and Nick, a cheerful, soft-hearted rugby player, one day are made to sit together in class. Their friendship becomes something more for Charlie, but he does not believe he has a chance.",drama
The Perfect Couple,2024,6.6,When one lavish wedding ends in disaster before it can even begin--with a body discovered in Nantucket Harbor just hours before the ceremony--everyone in the wedding party is suddenly a suspect.,drama
High Potential,2024-,7.8,"Follows Morgan, a single mom of three kids and how thanks to her exceptional mind, she is able to help to solve a crime as she rearranges evidence during her shift as a cleaner for the police department.",drama
Daddio,2023,6.6,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.,drama
Yellowjackets,2021-,7.8,A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness.,drama
Bad Monkey,2024-,7.4,"A detective turned restaurant inspector in Key West is pulled into a world of greed and corruption after a tourist finds a severed arm while fishing. And yes, there's a monkey.",drama
Breaking Bad,2008-2013,9.5,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,drama
The Lord of the Rings: The Rings of Power,2022-,6.9,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",adventure
Agatha All Along,2024,6.9,"A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",adventure
Deadpool & Wolverine,2024,7.8,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",adventure
Game of Thrones,2011-2019,9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",adventure
Lost,2004-2010,8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,adventure
Inside Out 2,2024,7.6,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",adventure
The Legend of Vox Machina,2022-,8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",adventure
Transformers One,2024,7.8,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",adventure
Dandadan,2024-,8.6,"A story of young love and occult battles begins. When Momo and Okarun's beliefs clash, they're thrown into a world of ghosts, aliens, and awakened powers.",adventure
Bleach: Thousand-Year Blood War,2022-,9,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",adventure
One Piece,1999-,9,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",adventure
House of the Dragon,2022-,8.4,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",adventure
Shogun,2024-2026,8.6,"When a mysterious European ship is found marooned in a nearby Japanese fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.",adventure
Gladiator II,2024,N/A,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",adventure
Civil War,2024,7,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",adventure
Superman & Lois,2021-2024,7.8,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society.",adventure
Bad Boys: Ride or Die,2024,6.6,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",adventure
Attack on Titan,2013-2023,9.1,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",adventure
The Last of Us,2023-,8.7,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",adventure
Tomb Raider: The Legend of Lara Croft,2024-,5.6,Follows heroine Lara Croft as she explores new territory.,adventure
Venom: The Last Dance,2024,N/A,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",adventure
